Name,ID,smiles,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,yield
4CzIPN,OPS1,N#CC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)C(C#N)=C1N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13,-0.20639,-0.0888,3.262,0.185,3.033,0.229,4.6952,65
4tBuCzIPN,OPS2,N#CC1=C(N2C(C=CC(C(C)(C)C)=C3)=C3C4=C2C=CC(C(C)(C)C)=C4)C(N5C(C=CC(C(C)(C)C)=C6)=C6C7=C5C=CC(C(C)(C)C)=C7)=C(N8C(C=CC(C(C)(C)C)=C9)=C9C%10=C8C=CC(C(C)(C)C)=C%10)C(C#N)=C1N%11C(C=CC(C(C)(C)C)=C%12)=C%12C%13=C%11C=CC(C(C)(C)C)=C%13,-0.19621,-0.08203,3.1887,0.1207,2.9803,0.2084,6.1138,82
4MeCzIPN,OPS3,N#CC1=C(N2C(C=CC(C)=C3)=C3C4=C2C=CC(C)=C4)C(N5C(C=CC(C)=C6)=C6C7=C5C=CC(C)=C7)=C(N8C(C=CC(C)=C9)=C9C%10=C8C=CC(C)=C%10)C(C#N)=C1N%11C(C=CC(C)=C%12)=C%12C%13=C%11C=CC(C)=C%13,-0.19686,-0.08286,3.1729,0.1881,2.9538,0.2191,5.1244,49
4BrCzIPN,OPS4,BrC1=CC(C2=C3C=CC(Br)=C2)=C(C=C1)N3C(C(C#N)=C(N4C(C=CC(Br)=C5)=C5C6=C4C=CC(Br)=C6)C(N7C(C=CC(Br)=C8)=C8C9=C7C=CC(Br)=C9)=C%10N%11C(C=CC(Br)=C%12)=C%12C%13=C%11C=CC(Br)=C%13)=C%10C#N,-0.2236,-0.11433,3.1927,0.1235,3.0271,0.1656,6.2874,74
4OMeCzIPN,OPS5,N#CC1=C(N2C(C=CC(OC)=C3)=C3C4=C2C=CC(OC)=C4)C(N5C(C=CC(OC)=C6)=C6C7=C5C=CC(OC)=C7)=C(N8C(C=CC(OC)=C9)=C9C%10=C8C=CC(OC)=C%10)C(C#N)=C1N%11C(C=CC(OC)=C%12)=C%12C%13=C%11C=CC(OC)=C%13,-0.1854,-0.07855,3.0441,0.1658,2.8555,0.1886,6.2109,24
4PhCzIPN,OPS6,N#CC1=C(N2C(C=CC(C3=CC=CC=C3)=C4)=C4C5=C2C=CC(C6=CC=CC=C6)=C5)C(N7C(C=CC(C8=CC=CC=C8)=C9)=C9C%10=C7C=CC(C%11=CC=CC=C%11)=C%10)=C(N%12C(C=CC(C%13=CC=CC=C%13)=C%14)=C%14C%15=C%12C=CC(C%16=CC=CC=C%16)=C%15)C(C#N)=C1N%17C(C=CC(C%18=CC=CC=C%18)=C%19)=C%19C%20=C%17C=CC(C%21=CC=CC=C%21)=C%20,-0.19569,-0.09205,3.1279,0.0199,3.0439,0.084,10.1616,18
4DPAIPN,OPS7,N#CC1=C(C(N(C2=CC=CC=C2)C3=CC=CC=C3)=C(C(C#N)=C1N(C4=CC=CC=C4)C5=CC=CC=C5)N(C6=CC=CC=C6)C7=CC=CC=C7)N(C8=CC=CC=C8)C9=CC=CC=C9,-0.19312,-0.07487,3.1324,0.1749,2.7578,0.3746,5.9165,30
4tBuDPAIPN,OPS8,N#CC1=C(N(C2=CC=C(C=C2)C(C)(C)C)C3=CC=C(C=C3)C(C)(C)C)C(N(C4=CC=C(C=C4)C(C)(C)C)C5=CC=C(C=C5)C(C)(C)C)=C(N(C6=CC=C(C=C6)C(C)(C)C)C7=CC=C(C=C7)C(C)(C)C)C(C#N)=C1N(C8=CC=C(C=C8)C(C)(C)C)C9=CC=C(C=C9)C(C)(C)C,-0.18604,-0.07053,3.0323,0.1249,2.7092,0.3231,6.9252,18
4MeDPAIPN,OPS9,N#CC1=C(N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C)C(N(C4=CC=C(C=C4)C)C5=CC=C(C=C5)C)=C(N(C6=CC=C(C=C6)C)C7=CC=C(C=C7)C)C(C#N)=C1N(C8=CC=C(C=C8)C)C9=CC=C(C=C9)C,-0.17956,-0.06622,3.0266,0.2025,2.7414,0.2852,5.3216,60
4FDPAIPN,OPS10,FC(C=C1)=CC=C1N(C2=CC=C(F)C=C2)C(C(C#N)=C(N(C3=CC=C(F)C=C3)C4=CC=C(F)C=C4)C(N(C5=CC=C(F)C=C5)C6=CC=C(F)C=C6)=C7N(C8=CC=C(F)C=C8)C9=CC=C(F)C=C9)=C7C#N,-0.19846,-0.08545,3.0458,0.1753,2.6241,0.4217,2.8928,44
